player,avg_moves,pct_long_games,avg_trades,avg_queen_move,pct_castled_early,avg_checks,win_rate,pct_wins,pct_draws,pct_losses
Chozen01,80.28571428571429,0.42857142857142855,17.0,13.571428571428571,0.14285714285714285,5.714285714285714,0.2857142857142857,0.2857142857142857,0.0,0.7142857142857143
CoLoUrFuLgAmBiTs,250.0,1.0,29.0,10.0,0.0,19.0,0.0,0.0,0.0,1.0
CruelKen,146.57142857142858,0.7857142857142857,20.0,19.928571428571427,0.42857142857142855,9.785714285714286,0.5,0.0,1.0,0.0
D_R_E_A_M_E_R,69.0,0.5,21.0,14.5,0.5,5.5,1.0,1.0,0.0,0.0
Darhan99,86.75,0.25,17.5,21.0,0.75,5.25,0.875,0.75,0.25,0.0
Davesondo,78.0,0.0,16.0,24.0,1.0,6.0,0.0,0.0,0.0,1.0
Defendiendome,65.66666666666667,0.3333333333333333,11.333333333333334,20.333333333333332,0.0,2.0,1.0,1.0,0.0,0.0
Dmitry_Gritsenko,94.0,0.5,18.5,8.0,0.5,8.5,0.25,0.0,0.5,0.5
DrGolsainnoff,95.0,1.0,25.0,17.0,1.0,6.0,1.0,1.0,0.0,0.0
DrMSAS,76.0,0.0,18.0,38.0,0.0,4.0,0.0,0.0,0.0,1.0
DraskoCitak,84.0,1.0,25.0,24.0,1.0,7.0,0.0,0.0,0.0,1.0
Dybamo,110.0,1.0,21.0,11.0,1.0,3.0,0.0,0.0,0.0,1.0
Eggplant,39.0,0.0,9.0,20.0,0.0,1.0,1.0,1.0,0.0,0.0
EliteLeela,168.5,1.0,24.0,20.0,0.0,28.0,0.75,0.5,0.5,0.0
Ellaijio,137.0,1.0,27.5,27.5,0.0,13.0,1.0,1.0,0.0,0.0
Elmanolete8585,105.0,1.0,19.0,22.0,1.0,8.0,0.5,0.0,1.0,0.0
Elretornodelmore,57.07692307692308,0.11538461538461539,13.115384615384615,19.384615384615383,0.4230769230769231,2.5,0.40384615384615385,0.38461538461538464,0.038461538461538464,0.5769230769230769
Erik-Ten-Hag,113.33333333333333,0.6666666666666666,20.0,17.666666666666668,0.6666666666666666,9.666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333
Euwe-chess-engine,119.5,1.0,24.75,19.0,0.5,10.25,0.375,0.25,0.25,0.5
FataliiBot,103.5,1.0,22.5,27.0,0.0,13.0,0.5,0.5,0.0,0.5
Fokin_A,21.0,0.0,2.0,22.0,0.0,1.0,1.0,1.0,0.0,0.0
Fruity23,131.1764705882353,0.5294117647058824,19.88235294117647,19.764705882352942,0.35294117647058826,10.176470588235293,0.6176470588235294,0.23529411764705882,0.7647058823529411,0.0
Future_Star_Chess,73.0,0.0,17.0,29.0,0.0,3.0,1.0,1.0,0.0,0.0
GNU4u,114.0,1.0,21.0,13.0,0.0,18.0,0.0,0.0,0.0,1.0
GgangbuVip,103.0,1.0,21.0,26.0,0.0,11.5,0.0,0.0,0.0,1.0
GiriZaSirotinju,96.5,1.0,21.5,22.0,0.5,10.0,0.5,0.5,0.0,0.5
Gligoric16,73.0,0.0,17.0,29.0,0.0,3.0,1.0,1.0,0.0,0.0
Golden_Surfer,75.54545454545455,0.45454545454545453,16.272727272727273,21.0,0.45454545454545453,5.454545454545454,1.0,1.0,0.0,0.0
Gonzaga22,95.25,0.5,20.75,16.0,0.0,7.0,0.75,0.75,0.0,0.25
Grappler1990,106.33333333333333,1.0,22.666666666666668,24.0,0.0,11.0,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666
Guillermotello2150,69.0,0.0,22.0,9.0,1.0,9.0,1.0,1.0,0.0,0.0
HasanKastraveci,99.0,1.0,23.0,32.0,0.0,2.0,1.0,1.0,0.0,0.0
Hercogas,83.0,1.0,14.0,9.0,0.0,6.0,1.0,1.0,0.0,0.0
HighlyCruciferous,31.0,0.0,4.0,13.0,1.0,0.0,1.0,1.0,0.0,0.0
ISLAMLEADER2,130.33333333333334,0.6666666666666666,22.0,20.333333333333332,1.0,9.333333333333334,0.16666666666666666,0.0,0.3333333333333333,0.6666666666666666
InanisBot,121.66666666666667,1.0,24.666666666666668,23.0,0.3333333333333333,8.666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.6666666666666666
InetoSaider,172.0,1.0,27.0,30.0,0.0,6.0,0.0,0.0,0.0,1.0
InnocuousMate,96.75,0.75,21.75,15.25,0.25,7.0,0.75,0.75,0.0,0.25
Inspector_Chess_2124,60.666666666666664,0.3333333333333333,14.333333333333334,20.0,0.3333333333333333,2.3333333333333335,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333
Jebatdurhaka,39.0,0.0,7.0,21.0,0.0,1.0,1.0,1.0,0.0,0.0
Jheronimo,76.0,0.0,18.0,38.0,0.0,4.0,0.0,0.0,0.0,1.0
JuanitoAlimana,96.0,1.0,22.0,23.5,0.5,5.0,0.0,0.0,0.0,1.0
Kadaga,71.0,0.0,16.0,15.0,0.0,3.0,1.0,1.0,0.0,0.0
KamranShirazi,64.0,0.0,18.0,14.0,0.0,6.0,0.0,0.0,0.0,1.0
Kavalerovo_chess1,118.0,1.0,20.0,19.0,1.0,8.0,0.0,0.0,0.0,1.0
Kobayagi,40.0,0.0,8.0,16.0,0.0,6.0,0.0,0.0,0.0,1.0
KongCouOui,60.0,0.25,13.75,24.75,0.75,3.5,1.0,1.0,0.0,0.0
Kostalex89,111.0,1.0,25.0,23.0,0.0,13.0,1.0,1.0,0.0,0.0
Kyreds_pet,123.0,1.0,17.666666666666668,16.666666666666668,0.3333333333333333,8.666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0
Kysylyn,132.66666666666666,1.0,24.0,22.333333333333332,0.6666666666666666,13.666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333
LAVT96,57.75,0.25,11.75,15.5,0.25,2.75,0.25,0.25,0.0,0.75
LRJ,60.0,0.0,12.0,35.0,0.0,4.0,0.0,0.0,0.0,1.0
LeelaStrength,188.5,1.0,28.0,34.5,1.0,16.5,0.5,0.5,0.0,0.5
Leon_Blanco,55.666666666666664,0.0,15.333333333333334,18.333333333333332,0.3333333333333333,3.3333333333333335,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666
Lerno1957,77.66666666666667,0.3333333333333333,16.0,23.666666666666668,1.0,3.6666666666666665,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666
LimboBot,85.0,0.5,14.0,11.0,0.5,9.0,1.0,1.0,0.0,0.0
LucidChess,30.0,0.0,5.5,22.0,0.0,0.5,0.5,0.5,0.0,0.5
Lynx_BOT,140.71428571428572,1.0,23.428571428571427,19.285714285714285,0.14285714285714285,11.714285714285714,0.7142857142857143,0.7142857142857143,0.0,0.2857142857142857
Marohzevich,57.5,0.0,14.5,19.5,0.5,3.0,0.5,0.5,0.0,0.5
MasterSili,99.0,1.0,19.0,29.0,1.0,12.0,1.0,1.0,0.0,0.0
MateWithRook_SF17DEV,109.2,0.6,19.1,17.1,0.3,5.5,0.6,0.3,0.6,0.1
Matinghffarifar,93.0,1.0,22.0,30.0,0.0,4.0,1.0,1.0,0.0,0.0
Menthuthuyoupi,93.5,0.5,17.5,23.0,1.0,6.0,0.5,0.5,0.0,0.5
Mettigel,68.875,0.25,14.125,19.5,0.375,3.625,0.3125,0.25,0.125,0.625
MiroulLaSurie,55.0,0.0,15.0,7.0,1.0,4.0,1.0,1.0,0.0,0.0
MityshevS,108.0,0.5,17.5,20.0,0.0,11.5,1.0,1.0,0.0,0.0
Mofleselinvicto,78.6,0.6,16.0,14.8,0.2,5.0,0.2,0.2,0.0,0.8
Moment-That-Inspires,106.0,0.6666666666666666,17.333333333333332,22.333333333333332,0.6666666666666666,10.333333333333334,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0
MrSandman1,87.5,0.5,19.5,25.0,1.0,3.5,0.75,0.5,0.5,0.0
MrTroutstanding,61.0,0.0,12.4,17.6,0.8,2.0,0.2,0.2,0.0,0.8
MsBlunderful,85.07142857142857,0.5714285714285714,18.642857142857142,19.714285714285715,0.6428571428571429,5.285714285714286,0.5,0.35714285714285715,0.2857142857142857,0.35714285714285715
MyDeletedAcc,87.71428571428571,0.42857142857142855,18.857142857142858,22.142857142857142,0.2857142857142857,6.857142857142857,0.5714285714285714,0.5714285714285714,0.0,0.42857142857142855
Neftegor,77.6,0.4,17.6,19.4,0.2,6.2,0.4,0.4,0.0,0.6
Nightrain20,77.0,0.6666666666666666,13.666666666666666,24.0,0.3333333333333333,2.6666666666666665,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666
Nikitosik-ai,129.54545454545453,0.696969696969697,21.09090909090909,18.363636363636363,0.6060606060606061,10.969696969696969,0.48484848484848486,0.0,0.9696969696969697,0.030303030303030304
Nikitosikbot_v2,162.66666666666666,0.9047619047619048,25.571428571428573,20.095238095238095,0.5238095238095238,13.380952380952381,0.5,0.0,1.0,0.0
Nimfish,151.0,1.0,24.0,26.0,0.0,17.0,1.0,1.0,0.0,0.0
NorthernHawk,91.0,0.8,20.6,18.8,0.4,7.2,0.5,0.4,0.2,0.4
ObiWanKANOEBI,117.0,1.0,25.0,9.0,0.0,20.0,0.5,0.0,1.0,0.0
OjaiJoao,67.0,0.0,18.0,15.0,1.0,4.0,1.0,1.0,0.0,0.0
OlympusCz,130.4,0.72,21.28,17.16,0.8,9.92,0.52,0.04,0.96,0.0
OpenningExperiments,74.33333333333333,0.3333333333333333,14.333333333333334,20.0,0.6666666666666666,5.0,1.0,1.0,0.0,0.0
PZChessBot,155.0,0.8571428571428571,22.428571428571427,25.428571428571427,0.7142857142857143,12.571428571428571,0.9285714285714286,0.8571428571428571,0.14285714285714285,0.0
Panesso,73.25,0.25,16.5,16.125,0.125,5.625,0.25,0.25,0.0,0.75
PatriciaBot,119.0,1.0,21.0,13.0,0.0,6.0,1.0,1.0,0.0,0.0
PerpetuallyLearning,81.8,0.6,17.6,14.8,0.4,4.6,0.6,0.6,0.0,0.4
PetersBot,61.8,0.2,11.2,12.0,0.2,5.0,0.6,0.2,0.8,0.0
Petronosky,90.0,1.0,18.0,20.0,0.0,6.0,0.0,0.0,0.0,1.0
